pdb,cgRNASP[kBT],cgRNASP-P[kBT],cgRNASP-PC[kBT],rsRNASP[kBT],RNA_BRiQ,DFIRE_RNA
S_000080.pdb,-428.445571,-863.356528,-246.283173,-5921.596796,-23.391,-43490.900421
S_000081.pdb,-394.063381,-873.621277,-232.611806,-5724.278898,-32.1492,-41875.661733
S_000082.pdb,-411.577568,-877.054524,-249.880261,-6017.641699,-49.8895,-41673.301692
S_000083.pdb,-410.371627,-854.633661,-244.759979,-6218.167529,-36.3373,-41108.649221
S_000084.pdb,-433.516382,-918.300484,-262.317541,-5978.093245,-24.3898,-42351.018717
S_000085.pdb,-424.870717,-948.867152,-252.514985,-6113.60022,-17.0231,-42408.814059
S_000086.pdb,-387.135539,-914.589252,-260.014902,-5939.712896,-0.510986,-40885.312606
S_000087.pdb,-430.565721,-839.452987,-260.318828,-5667.81414,-53.5666,-42632.807527
S_000088.pdb,-465.898768,-1058.860572,-276.45844,-6687.050582,-4.60547,-46282.598923
S_000089.pdb,-395.71641,-758.90337,-229.081656,-5816.354712,-11.8547,-41936.644468
S_000090.pdb,-409.365155,-899.153887,-244.946584,-5450.087198,-1.81732,-43189.319965
S_000091.pdb,-438.407161,-939.221153,-252.166745,-6489.65472,1.09101,-43640.153553
S_000092.pdb,-420.205569,-839.506729,-234.469628,-5685.717625,-7.52937,-42161.064791
S_000093.pdb,-371.766804,-800.242802,-231.073468,-5647.483001,-5.54228,-40844.191482
S_000094.pdb,-415.611368,-929.02413,-241.47684,-6076.31403,-29.8917,-42238.99887
S_000095.pdb,-419.165948,-863.094768,-236.085533,-5840.961754,-17.8286,-41952.512613
S_000096.pdb,-392.772433,-868.717063,-237.808467,-5802.013542,-43.9774,-41842.263351
S_000097.pdb,-395.120737,-844.789407,-237.500626,-5747.657881,-31.7295,-40128.947334
S_000098.pdb,-406.34285,-968.826649,-244.637031,-5880.994225,-20.5831,-41621.391168
S_000099.pdb,-435.544614,-856.149843,-247.08126,-5830.509787,-8.64037,-40052.69758
S_000100.pdb,-416.439276,-927.043898,-253.293403,-6107.933557,7.71749,-43954.807564
